image,label,label_id
10/170489.png,entertainment,1
8/136368.jpg,active,2
8/136368.jpg,sport,3
10/174042.png,home,4
10/173598.png,strong,5
10/173598.png,strength,6
10/173598.png,strength,6
6/65216.jpg,sexy,7
6/65216.jpg,lust,8
6/65216.jpg,sexuality,9
6/65216.jpg,sexuality,9
6/65216.jpg,sex,10
4/32694.jpg,strength,6
2/19752.jpg,humor,11
2/19752.jpg,nature,12
2/19752.jpg,natural,13
10/173529.png,childhood,14
10/173529.png,excitement,15
10/173529.png,fun,16
9/42969.jpg,clean,17
7/32957.jpg,beauty,18
10/172692.png,friendship,19
10/172692.png,beauty,18
10/173801.png,mystery,20
10/170962.png,nature,12
10/170962.png,death,21
10/170962.png,nature,12
10/171932.png,halloween,22
10/171932.png,halloween,22
10/171932.png,halloween,22
7/41477.jpg,violence,23
7/41477.jpg,abuse,24
7/41477.jpg,abuse,24
7/41477.jpg,abuse,24
7/41477.jpg,abuse,24
0/128750.jpg,clean,17
0/128750.jpg,cleanliness,25
0/128750.jpg,cleanliness,25
3/12483.jpg,family,26
3/12483.jpg,communication,27
3/12483.jpg,communication,27
3/12483.jpg,technology,28
0/127700.jpg,danger,29
0/127700.jpg,dangerous,30
0/127700.jpg,injury,31
0/127700.jpg,harm,32
5/51425.jpg,beauty,18
5/51425.jpg,color,33
5/51425.jpg,beauty,18
4/1584.jpg,sex,10
4/1584.jpg,birth,34
10/170470.png,fun,16
10/170241.png,protection,35
10/171452.png,candy,36
10/171043.png,desire,37
10/171043.png,sex,10
10/173676.png,travel,38
10/170033.png,fashion,39
9/142539.jpg,music,40
1/84271.jpg,beauty,18
1/84271.jpg,beauty,18
1/84271.jpg,natural,13
10/175955.png,home,4
10/175955.png,light,41
10/175955.png,food,42
10/175955.png,home,4
10/175963.png,danger,29
10/175963.png,danger,29
10/175963.png,fashion,39
10/171969.png,strong,5
10/171969.png,strength,6
10/171969.png,strength,6
10/171969.png,strong,5
5/127945.jpg,danger,29
10/172969.png,environment,43
10/172969.png,light,41
9/34939.jpg,harm,32
1/31701.jpg,support,44
6/52506.jpg,pollution,45
6/52506.jpg,environment,43
6/52506.jpg,nature,12
10/173353.png,natural,13
10/173353.png,natural,13
0/87060.jpg,wealth,46
10/172746.png,fresh,47
6/71966.jpg,smoking,48
6/71966.jpg,innocence,49
6/71966.jpg,danger,29
7/38197.jpg,nature,12
7/38197.jpg,exotic,50
7/38197.jpg,fresh,47
10/173120.png,vacation,51
10/173120.png,friendship,19
4/154724.jpg,sexual,52
10/173188.png,beauty,18
10/174815.png,fantasy,53
10/172907.png,freedom,54
10/172907.png,fun,16
10/172907.png,fun,16
10/173645.png,delicious,55
0/97320.jpg,celebration,56
10/172142.png,health,57
10/172142.png,heart,58
10/172142.png,health,57
10/172142.png,health,57
10/175404.png,environment,43
